true,pred
58.0,48.3661744450709
58.0,59.29901880240965
73.0,63.31798842171884
73.0,41.78248733803247
59.0,48.982512681838784
59.0,53.202554448988224
69.0,60.17027501651921
69.0,62.80617273741808
55.0,45.3006037701021
55.0,60.171921894667435
25.0,12.323357195871608
25.0,71.8500485035297
53.0,41.984579405485704
53.0,41.384441034041004
78.0,67.42419933383809
78.0,31.42678422044696
68.0,58.19680329137162
68.0,40.13238347949215
88.0,76.51695261487663
88.0,76.36876798370258
67.0,55.712083280064235
67.0,12.450999029782906
72.0,62.83140326674015
72.0,31.152754467791056
58.0,48.94335931322803
58.0,39.649859053177124
67.0,57.94485464774738
67.0,23.76344442680744
65.0,56.3357099083305
65.0,64.86413283287288
40.0,29.382909765110185
40.0,56.64981399407617
73.0,64.2999669093071
73.0,58.08637743784243
69.0,60.27646089590263
69.0,58.968206364991545
74.0,65.01716979804394
74.0,56.00423635576669
32.0,23.06248324313208
32.0,46.98192776890352
60.0,51.55014667631525
60.0,41.613324055807084
38.0,23.717913449057676
38.0,64.51705746016387
59.0,47.24781243605912
59.0,69.69014804223116
55.0,43.808565775640034
55.0,58.98673426606916
67.0,56.57012448705166
67.0,70.215708135162
80.0,68.52664861917958
80.0,66.42596437011417
33.0,21.593334939541137
33.0,59.93648599538233
43.0,31.619720298371192
43.0,45.70596730764606
35.0,25.48695199197016
35.0,60.47124013569544
45.0,32.553116125640315
45.0,68.6837762343851
71.0,60.66099909958115
71.0,66.14773344177792
58.0,44.70498621602178
58.0,37.374398465204024
66.0,57.059014990727974
66.0,56.212737785793195
43.0,32.01012013708038
43.0,67.51833861754682
76.0,65.71877269470502
76.0,66.44288260997797
51.0,42.65051657307254
51.0,69.73503023005742
67.0,57.9281081183488
67.0,51.15771923789737
45.0,33.25475280964025
45.0,56.4767383260953
72.0,61.639027750666685
72.0,15.122214240020696
46.0,36.26075015470872
46.0,62.78488012149484
62.0,52.02319544411466
62.0,65.99164508228091
38.0,28.357028121833366
38.0,46.49359244301945
60.0,47.90715853486648
60.0,60.7621248406183
67.0,57.446635410715544
67.0,56.73568694468452
68.0,58.725138331279766
68.0,51.68423793562579
32.0,22.640854370599413
32.0,55.28863803044851
54.0,42.99646487384126
54.0,4.134144213283946
39.0,27.798361327107784
39.0,59.665971401273055
25.0,11.233044355364768
25.0,35.36433102307325
7.0,-5.555403508304607
7.0,61.116561050605924
57.0,46.69877426414092
57.0,50.53424609708435
52.0,41.286369829705905
52.0,37.104491638337095
64.0,55.09609976162568
64.0,12.918913925488482
71.0,62.41137373836244
71.0,49.29705059436782
75.0,64.99171333788667
75.0,44.765171618308614
66.0,57.47359972974198
66.0,20.33730882977227
38.0,25.434276274116428
38.0,68.61887020231973
62.0,52.1941375092419
62.0,70.23843997956584
43.0,32.08158625879196
43.0,65.30275682204314
65.0,56.117276836483256
65.0,61.733648548854944
65.0,56.90867238707466
65.0,52.71350107345813
58.0,49.50737462313367
58.0,56.83884379413723
59.0,48.56512028689258
59.0,60.446299046058925
42.0,27.385555524140216
42.0,56.5338462169924
78.0,68.40487377518446
78.0,51.789087944549976
31.0,19.62499112217813
31.0,68.1088812370603
58.0,46.850132414926236
58.0,57.35294678788961
58.0,46.495668820691265
58.0,32.114002903385256
41.0,28.664885540078046
41.0,40.37234099457709
69.0,59.38101893557689
69.0,58.32130898703343
70.0,60.735487638983045
70.0,48.87046475398006
63.0,53.041986726800474
63.0,62.37940228665724
65.0,56.209981101404196
65.0,57.402864135189475
18.0,5.087461630771884
18.0,62.98242605736226
74.0,64.29558221645004
74.0,53.44078248383147
74.0,63.341597738008545
74.0,61.593470487620266
61.0,51.0504407870373
61.0,27.15122198154512
31.0,19.40997908161131
31.0,50.74166514574654
