true,pred
58.0,60.49526721327055
58.0,77.59965487016387
73.0,78.44731092767825
73.0,52.90437618738912
59.0,59.8455868370915
59.0,67.3821953796404
69.0,71.55379976197611
69.0,78.01935327198947
55.0,53.77789255294033
55.0,77.72905405010818
25.0,22.697105805917488
25.0,89.42155895934246
53.0,59.91352376415199
53.0,54.45515419052515
78.0,83.84064582771822
78.0,37.02009992767228
68.0,73.25875753097682
68.0,59.165633338668954
88.0,93.23523974532594
88.0,95.99551877927576
67.0,71.5169763312598
67.0,23.587577076037462
72.0,77.75790192561914
72.0,40.884532581954204
58.0,58.902181382387994
58.0,55.41303209452002
67.0,67.6497128855438
67.0,41.876610783246974
65.0,69.73684704455712
65.0,78.80679106420081
40.0,44.29215591021779
40.0,74.72919963767481
73.0,80.65495039831484
73.0,74.54125303039996
69.0,77.81181020370622
69.0,70.66381292076272
74.0,80.76065622281186
74.0,70.75675723300174
32.0,36.23783617940842
32.0,64.1563601886682
60.0,61.1883716462234
60.0,51.862515288763916
38.0,42.80372011001964
38.0,80.7919327584168
59.0,59.76754289900765
59.0,88.46515110649398
55.0,58.62443902753904
55.0,70.30175143606044
67.0,67.36737681654819
67.0,88.25740322606254
80.0,88.5517838628947
80.0,82.89149383350679
33.0,27.748152853366037
33.0,80.57215809049615
43.0,40.078453672735634
43.0,57.37768406145568
35.0,31.1085671054754
35.0,73.64402516305023
45.0,47.768975712824954
45.0,88.17447484429147
71.0,74.05117704570426
71.0,84.03423229591897
58.0,58.44575251460634
58.0,53.85917516618355
66.0,69.35168233036637
66.0,69.9596238262967
43.0,42.976699200757935
43.0,84.15735959929094
76.0,80.88282605500399
76.0,84.10189428429129
51.0,56.51748329505432
51.0,89.73462128486489
67.0,73.34676672411263
67.0,63.73499552554273
45.0,39.27344001382977
45.0,68.80129155212154
72.0,76.76327801558057
72.0,20.43242848617666
46.0,52.69522243671122
46.0,76.66514614820068
62.0,61.575922264681935
62.0,84.06797098097178
38.0,36.395002659038994
38.0,59.45865987401277
60.0,64.69868315275761
60.0,74.51528901395005
67.0,72.70667798691994
67.0,70.48106275324017
68.0,70.78927937328825
68.0,60.50194400295459
32.0,32.5934237061619
32.0,66.77552205406408
54.0,58.01430138601063
54.0,13.407056416938588
39.0,37.57014348351902
39.0,75.48681193759325
25.0,21.346651766140212
25.0,50.36390636896715
7.0,8.596344584250176
7.0,76.41693601582881
57.0,60.88784787604362
57.0,64.43661123448243
52.0,53.93257847222162
52.0,52.70471994953385
64.0,64.85070313634282
64.0,31.283562961614166
71.0,77.7880237406967
71.0,65.13515090621871
75.0,82.32365207221983
75.0,63.88101730906715
66.0,67.93181727207673
66.0,31.804854584596512
38.0,37.639400006644166
38.0,84.41776143184148
62.0,67.31268119360738
62.0,87.22735351521476
43.0,46.48326244820828
43.0,84.3154753224685
65.0,68.84000060647566
65.0,79.82099283910759
65.0,70.74230158157047
65.0,69.29489544832961
58.0,60.24460546976627
58.0,68.06670111747104
59.0,59.78715699421633
59.0,76.46189834964525
42.0,36.72102249114397
42.0,72.00465688551645
78.0,84.33801828020825
78.0,61.55315444171799
31.0,35.098350941146066
31.0,85.01147613136612
58.0,54.75263250111237
58.0,69.00323817669596
