true,pred
58.0,60.17588278654114
58.0,77.38365642994347
73.0,80.0502999241466
73.0,51.67142701633895
59.0,60.58546733949004
59.0,66.93603195218446
69.0,73.2887159710586
69.0,77.04996604521153
55.0,53.50811237778083
55.0,78.64002638080655
25.0,17.28932525615727
25.0,90.58542214112992
53.0,56.88996415796527
53.0,53.581372594554125
78.0,84.62017968264189
78.0,35.484635999086436
68.0,73.0860152247676
68.0,57.05985638116135
88.0,93.94925057776942
88.0,97.29896641092375
67.0,70.51691593286205
67.0,19.440028703367943
72.0,78.99431832907095
72.0,37.858245328482155
58.0,58.64504299916331
58.0,52.74589893054127
67.0,69.88811704925126
67.0,37.61725353952272
65.0,71.6171470780049
65.0,80.62986281905819
40.0,41.21985610673278
40.0,74.81591454475392
73.0,82.33124313914266
73.0,74.22893632438854
69.0,77.85561564929196
69.0,72.20669538399045
74.0,83.46845301675995
74.0,70.68459054200929
32.0,33.44223049853338
32.0,61.81935076059358
60.0,62.81970455296283
60.0,49.18523689195848
38.0,37.242981378249056
38.0,81.91702605546413
59.0,58.62701324915196
59.0,89.92583592228624
55.0,57.40146576398678
55.0,73.08680671171356
67.0,68.83684109460307
67.0,89.67268981749066
80.0,88.9955705314697
80.0,84.61340672053433
33.0,24.26805229342324
33.0,79.49497382810819
43.0,37.990939550543374
43.0,55.96859486589409
35.0,28.947544360986456
35.0,75.26038838129296
45.0,44.47435554324534
45.0,87.74881075448309
71.0,74.63309316749195
71.0,84.82441554199414
58.0,55.91961481828372
58.0,49.800461266360344
66.0,71.13386476877793
66.0,71.0578455599499
43.0,40.127096563430996
43.0,86.05571352028255
76.0,82.12221296452867
76.0,83.15660875642044
51.0,56.08956414256278
51.0,91.41065030633587
67.0,73.77260203027623
67.0,64.02188785927655
45.0,36.8244216539299
45.0,70.22473944780705
72.0,78.65682268437212
72.0,16.408387274163204
46.0,49.83860674029427
46.0,77.79564165174054
62.0,62.02320316167504
62.0,83.58342765063037
38.0,34.700350341995374
38.0,59.29306328107867
60.0,63.43659651579213
60.0,75.63093856106224
67.0,72.77462124935101
67.0,70.60507497319918
68.0,72.0056139744662
68.0,61.567727075611685
32.0,29.740787918660658
32.0,67.13581232431028
54.0,56.9229997146395
54.0,8.351716908252001
39.0,34.53074561475506
39.0,76.71145221277533
25.0,15.978681244890879
25.0,48.36955451662158
7.0,2.450269174349444
7.0,78.40282197412722
57.0,60.34240899320423
57.0,63.25309155906274
52.0,51.251604009971174
52.0,49.383053142853555
64.0,66.32489355257997
64.0,25.957335947827005
71.0,79.21512945806279
71.0,63.426061597281716
75.0,82.64127736297297
75.0,60.939064452508944
66.0,68.68106218523803
66.0,26.69775680148905
38.0,34.08898671940159
38.0,86.10358021403272
62.0,66.93179603952962
62.0,87.63716167527309
43.0,43.634419788526145
43.0,84.65845148537471
65.0,69.79662027935882
65.0,79.4400623015951
65.0,71.90501124645624
65.0,69.27061459829798
58.0,61.5536102418921
58.0,70.59659103360298
59.0,58.63063578806731
59.0,77.21690826953312
42.0,32.47474627854325
42.0,73.31826218699376
78.0,86.30234506908448
78.0,62.71854452704622
