true,pred
58.0,65.80145901086917
58.0,83.11265301800466
73.0,86.31621669030375
73.0,59.733801652505804
59.0,66.65076015141244
59.0,73.259047919034
69.0,78.87551804682704
69.0,84.98899945046963
55.0,59.70596748114946
55.0,84.90397927805009
25.0,25.3001792201336
25.0,97.52028533456695
53.0,63.25834806463024
53.0,59.219041269361014
78.0,91.51197538981313
78.0,42.79111905240734
68.0,79.44943924005338
68.0,62.44596004177271
88.0,101.1685799717954
88.0,104.52840731914392
67.0,77.99914791162689
67.0,26.47180095760541
72.0,84.60432042979875
72.0,45.60038487507734
58.0,64.25622031389923
58.0,60.683842660119524
67.0,75.36321246581088
67.0,44.9877934066638
65.0,76.63143463038654
65.0,86.13592971202166
40.0,47.583006212999294
40.0,80.6913345518447
73.0,87.71827000974423
73.0,79.91532487333757
69.0,82.68926632589222
69.0,78.2211408984457
74.0,88.81162212895089
74.0,76.58990491625872
32.0,38.57012025294631
32.0,69.72864294240259
60.0,68.29227344670613
60.0,56.88220587978236
38.0,46.390376621564485
38.0,88.20958230678775
59.0,66.73190398640384
59.0,95.85403467346117
55.0,64.62054180289124
55.0,78.39106646794295
67.0,75.29454013116498
67.0,96.15844878529919
80.0,96.39215125814621
80.0,90.18836225161112
33.0,32.0551240041853
33.0,87.64002881820909
43.0,45.1376903010605
43.0,63.25173541117289
35.0,35.36117824770622
35.0,80.27436698143435
45.0,52.547528109317
45.0,94.86604080313879
71.0,81.34177967260814
71.0,90.75151507743516
58.0,65.0657856613393
58.0,59.64946307943961
66.0,76.67127159984165
66.0,75.63072070437562
43.0,47.12355325663219
43.0,92.06864747597592
76.0,88.63251064141662
76.0,90.67968108749221
51.0,60.86349060705311
51.0,97.47999549996712
67.0,79.30766018619948
67.0,69.33387437025061
45.0,44.90485451690972
45.0,74.97922573486238
72.0,84.86077617049449
72.0,25.269779097555556
46.0,55.49381150060657
46.0,83.81690840621201
62.0,68.43612499351741
62.0,90.10322708362389
38.0,40.64567364571553
38.0,66.45915135288624
60.0,70.9109111612554
60.0,81.61441467259766
67.0,78.93272009910788
67.0,76.70701380549127
68.0,77.65807266384479
68.0,67.09962187965715
32.0,35.592969533651114
32.0,73.72172144697606
54.0,63.63231391930623
54.0,16.187793108997596
39.0,41.513318101734626
39.0,82.85138404029385
25.0,25.23896340923619
25.0,56.54672387314014
7.0,10.089663226150947
7.0,83.70962975739315
57.0,66.84744559575034
57.0,70.7392397110886
52.0,58.24567105190192
52.0,57.44485038821455
64.0,71.63981539013525
64.0,33.51311419527417
71.0,84.63464707904552
71.0,70.6871184461213
75.0,88.97691607569891
75.0,69.16649964381367
66.0,74.02578853125175
66.0,37.18734770509036
38.0,41.99103912364717
38.0,92.79221526625639
62.0,73.05664070257734
62.0,93.97988811622514
43.0,50.73741067268156
43.0,91.41811476772659
65.0,75.20509794987055
65.0,86.16265279824881
65.0,76.88722816607856
65.0,74.111272335597
58.0,66.52877307099328
58.0,75.546680610983
59.0,64.96351863348161
59.0,81.9243387480459
42.0,42.094095046085215
42.0,79.09368552894227
78.0,92.3038872377947
78.0,68.68952985918514
31.0,37.67426551953315
31.0,92.41848810582195
58.0,61.965973933023804
58.0,75.55397977280597
58.0,63.84986399480789
58.0,52.35157031282722
41.0,49.708792531948006
41.0,60.00506471149805
69.0,83.42905729932664
69.0,76.30654201926285
70.0,81.38331246079645
70.0,71.46371917825138
63.0,70.99797239469268
63.0,84.0833598595309
65.0,78.51523449093355
65.0,77.93448716172736
18.0,17.08910417706676
18.0,84.4254348341766
74.0,85.52103591686102
74.0,76.09733083580545
74.0,87.57429707761725
74.0,84.3561433453907
61.0,71.83536342105725
61.0,48.08169800808486
31.0,36.361978190369484
31.0,68.5440404435891
68.0,80.62124446391641
68.0,67.0602520898907
23.0,21.560518067597798
23.0,80.65180913806739
22.0,18.652771691790974
22.0,83.90229108521146
25.0,22.362041789905163
25.0,75.44076631603713
73.0,85.05219423261309
73.0,92.44289004923286
75.0,86.95243580790071
75.0,83.28891304683765
51.0,55.26667148606731
51.0,67.097423707252
69.0,79.84799149118118
69.0,61.45050353980906
78.0,92.68224749236708
78.0,75.43623381030113
67.0,78.19085120815208
67.0,76.49433783590666
43.0,47.41638454634284
43.0,41.92903693552131
60.0,69.4186310406455
60.0,51.381789451613656
45.0,50.21633377977116
45.0,64.01217706720729
53.0,59.85905357394756
53.0,7.260050864550749
63.0,73.86199949385332
63.0,65.50070310489929
68.0,80.54970862337143
68.0,52.15044039070824
64.0,73.73692934223459
64.0,85.02681900729897
11.0,11.297452484149915
11.0,71.54237627304406
61.0,69.85376836189528
61.0,33.6147855361433
72.0,83.80968558713624
72.0,88.56904315440181
39.0,35.70761299051668
39.0,66.00301613552432
36.0,39.32477441044932
36.0,70.60921510981535
69.0,80.41846181012875
69.0,63.00214349282993
75.0,87.72305574983977
75.0,79.17965726194234
74.0,88.82588352563124
74.0,53.56395844694583
66.0,76.42950679645884
66.0,82.35755903127864
40.0,42.60835085790194
40.0,59.3959869778875
70.0,82.43835339131687
70.0,87.53206338326555
79.0,90.41007160805225
79.0,77.0966842213225
34.0,37.5027391935584
34.0,50.276412774123
57.0,59.07590920648005
57.0,93.51536800371383
72.0,84.7815882589648
72.0,57.18523209948182
71.0,85.39633152350245
71.0,82.43121348105836
75.0,87.6471201225246
75.0,74.39151240945773
68.0,83.6753445597455
68.0,79.70881450502543
67.0,78.33951416547313
67.0,38.61103489667124
53.0,57.69711837484431
53.0,51.00859453082171
65.0,72.19041455847156
65.0,77.11734578252111
34.0,44.60587588597696
34.0,76.22541174274204
71.0,81.65561582794453
71.0,76.2969473726452
37.0,40.921489444884514
37.0,37.02026614748365
64.0,77.1934052317776
64.0,10.57973936367307
75.0,85.62778928303521
75.0,32.81936602166917
73.0,84.80497790209466
73.0,17.103796196328403
76.0,89.15952821255769
76.0,58.83448977911797
62.0,71.5056266628925
62.0,70.09554870110753
61.0,68.92970426813304
61.0,45.47793974128092
38.0,46.13297073226511
38.0,66.58565785003469
79.0,92.0306657661518
79.0,67.48430761047587
63.0,73.53353844202132
63.0,84.91993083268682
60.0,69.67860016548582
60.0,89.38286896462353
68.0,77.97033673238775
68.0,82.91116087930578
71.0,80.40544299225087
71.0,55.12002679728914
27.0,32.09214358210551
27.0,68.51055728564353
66.0,75.27976733099848
66.0,69.59448498028507
68.0,77.2806247650837
68.0,81.60053668391498
68.0,76.19671890718666
68.0,82.938480905311
29.0,30.390265996203254
29.0,92.79053560474478
61.0,71.0547563071695
61.0,64.68598136879541
80.0,93.64415863002222
80.0,70.31653024177712
58.0,64.4746732845644
58.0,89.03554198534903
59.0,69.20833518097191
59.0,43.57358771673154
51.0,55.64993738091448
51.0,64.0615377735254
51.0,55.66270189815123
51.0,83.61441270729472
55.0,63.65475529698534
55.0,95.80562413078292
30.0,36.13711929098503
30.0,82.38198538108958
72.0,85.64583402061982
72.0,96.17385588624967
56.0,61.60013724474118
56.0,82.08923229835801
63.0,70.37441548727446
63.0,35.80910027283244
63.0,77.35460731272383
63.0,75.589553721232
67.0,75.21879962222255
67.0,83.78368242433572
63.0,73.5721549020933
63.0,83.48079243538592
80.0,94.21850054524776
80.0,81.3930195178338
34.0,37.23472187984294
34.0,73.64561673782686
69.0,80.5142834906921
69.0,36.58583111400867
62.0,72.35317911264116
62.0,37.25433804062931
27.0,24.827253574315023
27.0,75.62724343025712
70.0,83.73485880557064
70.0,80.30962071751316
67.0,78.5467482681816
67.0,77.61483773020257
58.0,67.18505239176625
58.0,84.57643766042202
50.0,57.7012485012541
50.0,63.14505224188184
77.0,91.92373855957362
77.0,85.15784762115408
51.0,62.25544783884146
51.0,76.64194580143254
78.0,91.20694360717658
78.0,43.00065677699291
70.0,83.04699974629119
70.0,74.85045120469425
62.0,71.72985293505502
62.0,71.08246006536638
36.0,30.18158804585954
36.0,72.69375053126583
73.0,86.69324533927227
73.0,71.6949579219825
15.0,15.218804656705345
15.0,80.58244980623658
73.0,83.65755315234804
73.0,82.81689446638222
50.0,59.3292872776575
50.0,82.40221346469883
41.0,42.916040414215956
41.0,80.15858275185064
69.0,79.11126037066697
69.0,54.49562400147147
40.0,44.646388385453065
40.0,80.73873895993535
78.0,95.02091418536855
78.0,5.38723861119513
70.0,84.07759697785872
70.0,65.33238724764891
67.0,81.35970773524116
67.0,57.35833298626943
41.0,42.544944938644505
41.0,21.09948874087712
76.0,88.26673334570825
76.0,33.222709004578576
55.0,57.37554500533366
55.0,34.65467450335291
54.0,57.53255236448962
54.0,96.26626997388138
74.0,88.1099416257232
74.0,53.607035329362645
69.0,77.94353070189771
69.0,77.87667016196565
21.0,21.657739217373376
21.0,70.11881081801056
46.0,50.37895997298358
46.0,93.77146578297732
60.0,69.18392375296884
60.0,58.942606276859465
30.0,32.898043222784736
30.0,49.00765163452837
63.0,74.76187350779361
63.0,37.457191517214255
79.0,94.96453747824216
79.0,59.18573249316216
77.0,91.00830488133465
77.0,91.33824861271484
58.0,66.20428700885276
58.0,97.59665682985212
57.0,69.67857799279568
57.0,72.20720181860514
62.0,74.22826620160924
62.0,80.95661288549951
28.0,18.46502303356948
28.0,86.20175436194245
64.0,76.2968092730411
64.0,55.22901851603365
62.0,68.34184768153409
62.0,63.89432479795403
58.0,68.61103390507009
58.0,68.89279316151806
71.0,82.68178637866015
71.0,72.0503627138292
46.0,47.01480296321381
46.0,73.20717802727222
57.0,66.21098517571295
57.0,63.160693890858
65.0,74.62150942728607
65.0,75.58220111665406
55.0,58.047980593920386
55.0,81.02996344504237
70.0,81.7849764908076
70.0,78.75288694681831
71.0,83.29988484748071
71.0,87.89103787204886
66.0,76.2116752994487
66.0,35.51530956665346
50.0,54.16741676812376
50.0,52.16266050180491
47.0,54.05579044911792
47.0,64.23914513406447
60.0,67.22204363832913
60.0,59.06770209584033
33.0,39.037947851333854
33.0,82.3134257352022
60.0,72.26418563816105
60.0,65.39681837546567
69.0,82.43333731156577
69.0,10.324802045308275
58.0,64.29357280495634
58.0,70.49092630812515
73.0,85.93808738208372
73.0,48.69576799657244
68.0,81.46280040953854
68.0,93.24358962721476
45.0,48.24392919527543
45.0,90.09896383701425
62.0,70.37795141624912
62.0,62.941772560668085
61.0,71.56991422402672
61.0,66.67697783864736
31.0,31.323150281042103
31.0,87.64969990329905
59.0,68.54194123256406
59.0,75.58862527205491
58.0,68.08944840284374
58.0,60.54007364278817
56.0,67.65975167154306
56.0,82.41509491060111
58.0,64.50603953880449
58.0,79.95827040256279
58.0,62.40956786703623
58.0,70.49189671254032
76.0,89.31214079245649
76.0,31.999823549976213
50.0,54.24486269742522
50.0,40.482273162426964
66.0,78.02244015903369
66.0,73.17769524075163
65.0,72.89377691150798
65.0,88.93744622373816
69.0,80.34333091260578
69.0,24.003407666638168
60.0,69.47356202184534
60.0,62.83381412526256
63.0,75.47455869566966
63.0,18.470261037547232
61.0,72.67121250760658
61.0,94.00134938719611
54.0,60.72794115590659
54.0,70.31331178967662
